concept,t_count,d_count,tf,idf,tf_idf,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
UNKNOWN,13,11,0.001772082878953108,12.50916976359173,0.002938133609125199,,,,,,,,,0.007462686567164179,,,,0.0070921985815602835,,,,,0.017857142857142856,,,,,,,,,,,,,,,,0.0125,,,,,,0.011904761904761904,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,0.006289308176100629,,,,,,,0.01886792452830189,,0.02127659574468085,,0.017543859649122806,,,,,,,,,,0.018867924528301886,,,,
americanBusiness,115,29,0.015676117775354416,58.04904192457827,0.022302305791998187,,,0.02564102564102564,0.03076923076923077,,0.014492753623188406,0.07954545454545456,,0.17910447761194026,,,,,0.013636363636363636,,0.00847457627118644,,,0.011764705882352941,,,0.007751937984496124,,0.02531645569620253,,0.06896551724137931,,,,,0.01282051282051282,0.06382978723404255,,,,,0.027777777777777776,,,,,0.014492753623188406,,,,,0.04477611940298507,,,0.06896551724137931,,0.015873015873015872,,,,,,,0.017543859649122806,0.07936507936507936,0.02564102564102564,,,0.1935483870967742,,0.006289308176100629,,,,,,0.021739130434782608,,0.007518796992481203,0.02127659574468085,0.07317073170731708,,,,,,,,,,,0.03773584905660377,,,0.1739130434782609,
arms,87,17,0.011859323882224646,91.3527455940369,0.019685197135600966,,0.14492753623188406,,,,,,,0.014925373134328358,,,,,,,0.00847457627118644,,,,,,,,0.012658227848101266,,,,,,,,,0.012345679012345678,,,,,0.02127659574468085,0.012345679012345678,,,0.014492753623188406,,,,,,0.011764705882352941,,,0.02,,,,,,,,,,,0.014388489208633094,,,,0.0440251572327044,,,,,,0.005434782608695652,,0.3458646616541353,,0.008130081300813009,,,,0.046511627906976744,,,,,,0.06,,,,,
asianNations,25,9,0.0034078516902944383,22.508496707853123,0.005545979385087675,,,,,,,,,,,,,,0.03636363636363637,,0.00847457627118644,,,,,0.0058823529411764705,,,,,,,,,,0.07692307692307693,,,,,,0.018518518518518517,0.02127659574468085,,,,,,,,,,,,,,,0.01818181818181818,,,,,,,,,,,,,0.012578616352201259,,,,,,,,,,,,,,0.015503875968992248,,,,,,,,,,,
barackObama,84,35,0.011450381679389313,36.041893906164944,0.010433983554274195,0.018518518518518517,,0.01282051282051282,,0.058823529411764705,,,0.04477611940298507,,,0.0684931506849315,0.01818181818181818,0.042553191489361694,0.004545454545454545,0.014705882352941176,0.01694915254237288,0.016483516483516484,,0.023529411764705882,0.016129032258064516,0.029411764705882353,0.015503875968992248,0.00909090909090909,0.08860759493670886,,,,0.031746031746031744,,,,0.0425531914893617,0.012345679012345678,,0.012987012987012988,,,0.010638297872340425,0.024691358024691357,,,,0.010526315789473684,,,0.038461538461538464,0.05970149253731343,,0.030120481927710843,,,,,,,,,0.008130081300813009,,,,0.014388489208633094,,,,0.01886792452830189,,0.022727272727272728,,0.04081632653061224,,,,0.03007518796992481,0.02127659574468085,,,,,,,,,,,,,0.017543859649122806,,,
borderSecurity,82,24,0.011177753544165758,19.010186154063522,0.012064601093381169,,,0.01282051282051282,,,,0.011363636363636364,0.014925373134328358,,,,,,,0.044117647058823525,0.025423728813559324,0.005494505494505495,0.08928571428571427,0.0058823529411764705,,,,,,,,0.2142857142857143,,,0.16216216216216217,,,0.037037037037037035,0.037500000000000006,,,,0.02127659574468085,,,,,,0.04285714285714286,,0.05128205128205128,,,,,0.06,,,,,,0.0125,,,,,,,,,,0.011363636363636364,,,0.061224489795918366,,0.010869565217391304,,0.007518796992481203,,,0.14035087719298245,,,,,,,0.015873015873015872,,,,,0.14583333333333331,,
borderWall,96,16,0.013086150490730643,62.825795556423984,0.017836978542932425,,,0.01282051282051282,,,,,0.029850746268656716,,,,0.09090909090909091,,,0.29411764705882354,0.0423728813559322,0.005494505494505495,0.2321428571428571,,,,,,,,,,,,0.29729729729729726,,,0.037037037037037035,,,,,,,,,,,,0.014285714285714285,0.07692307692307691,,,,,,,0.01818181818181818,,,,0.0125,,,,,,,,,,,,,0.04081632653061224,,,,,,,0.15789473684210525,,,,,,,,,,,,0.1875,,
budget,36,8,0.004907306434023991,27.880470906496498,0.00838257773359323,,,0.01282051282051282,,,,,,,,,0.29090909090909095,,,,,,,,,,,,,,,,,,,,,0.1728395061728395,,,0.03571428571428571,0.009259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,0.007194244604316547,,,,,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,0.017543859649122806,,,
business,110,40,0.014994547437295528,117.74590133104532,0.022931577403583293,,0.014492753623188406,0.038461538461538464,0.03076923076923077,,0.014492753623188406,0.06818181818181819,,0.022388059701492536,,,,,0.03181818181818182,,0.025423728813559324,,,0.029411764705882353,,,0.007751937984496124,0.00909090909090909,0.012658227848101266,,,,0.015873015873015872,0.05405405405405406,0.013513513513513514,0.02564102564102564,0.0851063829787234,,,,,0.046296296296296294,,,0.023809523809523808,,,0.010526315789473684,,,,0.07462686567164178,,0.006024096385542169,0.08620689655172414,,0.015873015873015872,,,,,,0.008130081300813009,0.017543859649122806,0.047619047619047616,,,,0.016129032258064516,,,0.011363636363636364,0.045454545454545456,,,0.03389830508474576,0.02717391304347826,,0.07518796992481203,,0.04065040650406505,,0.15384615384615385,,,0.01818181818181818,,,,,,,0.017543859649122806,0.020833333333333332,0.043478260869565216,0.015151515151515152
centralAmericanNations,82,28,0.011177753544165758,19.148054774750488,0.012193765387727018,,,0.01282051282051282,,,,0.10227272727272728,0.04477611940298507,,,,,,0.004545454545454545,0.04411764705882353,0.00847457627118644,0.02197802197802198,0.07142857142857142,0.0058823529411764705,,,,,,,,,,,0.04054054054054054,0.01282051282051282,,0.012345679012345678,,,,0.009259259259259259,,,,,,,,,0.02564102564102564,0.2238805970149253,,,0.017241379310344827,,,0.03636363636363636,0.01098901098901099,,,,,,,,0.014388489208633094,,,,,0.06818181818181818,,0.10344827586206896,,,,,,,,,,0.037037037037037035,,,0.03333333333333333,,0.031746031746031744,0.08771929824561403,,,,0.020833333333333332,0.043478260869565216,0.015151515151515152
china,147,23,0.02003816793893132,27.58153390033836,0.01727322481931261,,0.028985507246376812,0.01282051282051282,,,,0.011363636363636364,0.04477611940298507,0.014925373134328358,,,,0.0070921985815602835,,,0.01694915254237288,,,,,0.23529411764705888,0.015503875968992248,,,,,,,,,0.08974358974358973,,,,,,0.027777777777777776,0.0851063829787234,,,,0.33333333333333337,,,,,,0.24705882352941175,,0.034482758620689655,,,,,,,,,,,,0.014388489208633094,,,,0.006289308176100629,,,,,,0.03804347826086957,,0.007518796992481203,,,,,0.14814814814814814,0.03875968992248062,,0.16666666666666666,,0.06349206349206349,,,,,,,
climateChange,80,17,0.010905125408942203,58.61014330822733,0.01645099408373961,,,0.01282051282051282,,0.0196078431372549,,,,,,,,,,,0.025423728813559324,0.01098901098901099,,0.03529411764705882,0.2258064516129032,0.15882352941176472,,,0.05063291139240506,0.10526315789473684,,,0.1111111111111111,,,,,0.037037037037037035,,,,,,,,0.16949152542372883,,,,,,,,0.012048192771084338,,,,0.01818181818181818,,,0.18367346938775508,,,,,,0.02158273381294964,,,,,,,,,,,,,,0.008130081300813009,,,,,,,,,,,,,,,
climatechange,1,1,0.00013631406761177754,1.9590413923210936,0.00026704490080712835,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015873015873015872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communication,71,39,0.009678298800436205,54.755546781106254,0.014322473310489013,,0.043478260869565216,0.01282051282051282,,0.0196078431372549,0.014492753623188406,0.011363636363636364,,,,,,0.014184397163120567,0.01818181818181818,0.014705882352941176,0.03389830508474576,0.005494505494505495,0.017857142857142856,,,0.0058823529411764705,0.007751937984496124,0.01818181818181818,,0.02631578947368421,,,,0.02702702702702703,,0.01282051282051282,,,0.037500000000000006,0.03896103896103896,0.07142857142857142,,,,,,0.028985507246376812,,,0.014285714285714285,,,0.023529411764705882,,,,,,,,,0.025,0.04065040650406505,,,,0.02877697841726619,,0.03225806451612903,0.023255813953488372,0.006289308176100629,0.011363636363636364,,,,,0.005434782608695652,0.006289308176100629,,0.0851063829787234,,0.017543859649122806,,,0.007751937984496124,,,0.04477611940298507,0.015873015873015872,,0.04,,,,0.014492753623188406,
conflict,142,48,0.019356597600872456,136.97109681019492,0.031684774980556406,0.018518518518518517,,,,,0.020289855072463767,,,,,,0.03636363636363636,0.028368794326241134,0.04363636363636365,0.014705882352941176,0.01694915254237288,0.005494505494505495,0.017857142857142856,,0.016129032258064516,,0.031007751937984496,0.00909090909090909,0.012658227848101266,,,,,0.02702702702702703,,,,0.024691358024691357,0.05,0.05194805194805195,0.03571428571428571,0.009259259259259259,0.0010638297872340426,0.024691358024691357,,,0.0014492753623188406,,0.02857142857142857,,0.01282051282051282,,,0.006024096385542169,0.08620689655172414,0.02,,,0.03296703296703297,0.03896103896103896,0.061224489795918366,0.037500000000000006,0.008130081300813009,0.03508771929824561,,0.038461538461538464,0.03597122302158273,0.0819672131147541,0.016129032258064516,,0.05157232704402515,0.0125,0.022727272727272728,0.017241379310344827,,,0.016304347826086956,0.012578616352201259,0.015037593984962405,,0.10406504065040652,,,,0.01627906976744186,,,0.014925373134328358,,,0.04,,,,,
controversy,116,28,0.015812431842966195,100.2954189420929,0.02653560204311535,0.018518518518518517,,,,,0.043478260869565216,,,,,0.0410958904109589,,0.07801418439716311,0.027272727272727275,,0.00847457627118644,0.016483516483516484,,,,,0.015503875968992248,0.1090909090909091,,,,,,,,,,,0.025,,,,0.02127659574468085,,,,,,,,0.01282051282051282,,,,,,,,,0.1168831168831169,,0.0125,0.024390243902439025,,,0.05128205128205128,,,0.016129032258064516,0.06976744186046512,,0.011363636363636364,,0.017241379310344827,,0.11864406779661017,,0.04402515723270441,,0.02127659574468085,0.07317073170731708,,,,0.015503875968992248,,,0.07462686567164178,,,,0.490566037735849,,,,0.015151515151515152
daca,47,7,0.006406761177753544,21.107096167071578,0.00895263453450179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0641025641025641,,,,,,0.3333333333333333,,,,,0.05,,,,,,0.26229508196721313,,,,0.10227272727272728,,,0.18367346938775508,,,,,,,0.14035087719298245,,,,,,,,,,,,,,
democrat,95,32,0.012949836423118866,34.58630270728587,0.011948166259299073,,,,,,,,0.0014925373134328358,0.0014925373134328358,0.026415094339622643,,0.0018181818181818182,0.014893617021276595,,0.01764705882352941,,0.04670329670329671,0.024999999999999998,,,,0.0015503875968992248,,0.012658227848101266,,,,,0.02702702702702703,,0.01282051282051282,,,0.025,0.016883116883116885,,,,0.009876543209876543,0.0035714285714285713,0.005084745762711865,,,,,,0.0014925373134328358,,0.0018072289156626507,,,,,0.0010989010989010991,,,0.030000000000000002,,,0.0015873015873015873,0.001282051282051282,0.007194244604316547,0.0016393442622950822,,,,0.0011363636363636365,,0.0017241379310344827,0.008163265306122448,0.0016949152542372883,,,,,,0.0017543859649122807,,,,,,0.10895522388059702,,,,,,,,0.0196969696969697
domesticPolicy,27,18,0.0036804798255179933,46.41493342437826,0.006881935336335564,0.018518518518518517,,0.038461538461538464,,0.0196078431372549,0.014492753623188406,,0.014925373134328358,0.014925373134328358,,,0.01818181818181818,,,,0.01694915254237288,0.01098901098901099,,,,,,,,,,,,0.05405405405405406,,,,0.012345679012345678,,0.025974025974025976,,,,,0.023809523809523808,,,0.010526315789473684,,,,,,0.012048192771084338,,,,0.01818181818181818,,,,,,0.017543859649122806,,,,,,,,,,,,,,,,,,,,,,,,,0.015873015873015872,,,,,,,
economy,269,51,0.03666848418756815,181.6086839788259,0.04857919541504934,,,0.014102564102564103,0.046153846153846156,0.0196078431372549,,0.125,0.05970149253731343,0.09925373134328355,,,0.03636363636363636,,0.03636363636363637,,0.06779661016949153,0.012637362637362638,,0.05411764705882353,,0.030588235294117645,,,0.039240506329113925,0.05263157894736842,0.034482758620689655,0.017857142857142856,0.047619047619047616,0.08648648648648649,,0.026923076923076925,0.08936170212765958,0.06296296296296296,0.0125,0.014285714285714287,0.21428571428571427,0.08333333333333333,0.010638297872340425,,,,0.0014492753623188406,,,0.1285714285714286,,0.04626865671641791,,0.006024096385542169,0.24482758620689657,,0.146031746031746,,,,,0.025,,0.0543859649122807,0.17619047619047618,,,,0.04838709677419355,,,0.011363636363636364,0.3431818181818181,,,,0.01684782608695652,,0.045112781954887216,,0.024390243902439025,,0.019230769230769232,0.14814814814814814,,0.03636363636363636,0.13333333333333333,,0.11428571428571428,,0.002,,0.017543859649122806,0.020833333333333332,0.3043478260869566,0.01818181818181818
education,53,17,0.007224645583424209,54.477746626160744,0.01255531250201961,,,0.07692307692307691,,1.0,,,0.04477611940298507,0.007462686567164179,,,,,,,,,,0.011764705882352941,,,,0.05454545454545455,,,,0.017857142857142856,,,,0.01282051282051282,0.02127659574468085,,,,,,,,,,0.028985507246376812,,,,,,0.011764705882352941,0.006024096385542169,,,0.031746031746031744,,,,,,,,,,,0.01639344262295082,,,,,,,,,,,,,0.008130081300813009,,,,0.031007751937984496,,,,,,,,,,0.014492753623188406,
energy,167,25,0.022764449291166937,158.23725089702344,0.03812765219769103,,0.014492753623188406,0.038461538461538464,,,,0.011363636363636364,0.029850746268656716,0.022388059701492536,,,,,0.013636363636363636,,0.025423728813559324,,,0.36470588235294077,0.20967741935483863,0.047058823529411764,,,0.08860759493670886,0.05263157894736842,,,0.1746031746031746,,,,,0.012345679012345678,,,,,,,,0.01694915254237288,,,,,,,,,,,,,,,,0.0125,,,,,0.014388489208633094,,,,,,0.045454545454545456,0.017241379310344827,,,0.016304347826086956,,,,,,0.36538461538461536,0.037037037037037035,,,0.03333333333333333,,0.015873015873015872,,,,0.2631578947368421,,,
environmental,56,21,0.007633587786259542,79.3943772574544,0.013733533848721738,,,0.01282051282051282,,,,,0.014925373134328358,0.022388059701492536,,,,,,,0.00847457627118644,0.005494505494505495,,0.0823529411764706,0.03225806451612903,0.023529411764705882,,,0.10126582278481013,,,,0.047619047619047616,,0.013513513513513514,0.01282051282051282,,0.012345679012345678,,,,,,,,0.01694915254237288,,,,,,,0.011764705882352941,,,,,,,,,,,,,,0.007194244604316547,,,,,,,0.017241379310344827,,,,,,,,,0.057692307692307696,,0.007751937984496124,,,,,,,,0.08771929824561403,0.041666666666666664,,
environmentalPolicy,93,14,0.01267720828789531,135.35474621209298,0.02241057005863391,,,0.0641025641025641,,,,,,,,,,,,,,0.01098901098901099,,0.058823529411764705,0.16129032258064513,0.11176470588235299,,,0.11392405063291139,0.02631578947368421,,,0.1746031746031746,,,,,0.04938271604938271,,,,,,,,0.06779661016949153,,,,,,,,,,,,,,,0.04081632653061224,,,,,,,,,,,,,,,,,,,,,,0.13461538461538464,,,,,,,,,,0.10526315789473684,0.0625,,
europeanNation,125,27,0.01703925845147221,33.943284108278995,0.019247927998729042,,0.2753623188405797,,,,,,,,,0.3424657534246575,,0.3971631205673759,0.013636363636363636,,0.03389830508474576,,,,,0.011764705882352941,0.5193798449612403,0.07272727272727272,,,0.31034482758620685,,,,,0.038461538461538464,,,,,,,,,,0.13559322033898305,,,,,,,,,0.017241379310344827,0.02,,0.14545454545454545,0.01098901098901099,,0.18367346938775508,,0.0813008130081301,,,0.33333333333333337,0.014388489208633094,,,,0.018867924528301886,,,,,,,0.1069182389937107,0.03007518796992481,,,,,,0.10852713178294573,,,0.11940298507462686,,0.017543859649122806,0.02,,,,,0.015151515151515152
fakeNews,1,1,0.00013631406761177754,1.9590413923210936,0.00026704490080712835,,,,,,,,,,,,,,,,,,,,,,,0.00909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbi,72,9,0.009814612868047983,16.842225896204734,0.013870000505720419,,,,,,,,,,,0.0136986301369863,,,,,,,,,,,,,,,0.06896551724137931,,,,,,,0.012345679012345678,,,,,,,,,,,,0.014285714285714285,,,,,,,,,,,,,0.26016260162601623,0.017543859649122806,,0.02564102564102564,,,,,,,,,,,,0.15723270440251572,,,,,,,,,,0.07462686567164178,,,,,,,,
finance,74,23,0.010087241003271538,83.24551325246597,0.017436650342433708,,,,0.03076923076923077,,,,,0.10447761194029848,,,0.01818181818181818,,0.040909090909090916,,0.05084745762711864,,,0.011764705882352941,,,,,,,,,,,0.013513513513513514,,0.06382978723404255,0.012345679012345678,,,,0.018518518518518517,,,0.10714285714285714,,0.014492753623188406,0.021052631578947368,,0.1,,0.014925373134328358,,0.006024096385542169,,,,,,,,,,0.017543859649122806,,,,,,,0.006289308176100629,,0.06818181818181818,,,,,,,,0.024390243902439025,,0.038461538461538464,,,,,,,,0.02,,,,,0.015151515151515152
foreignPolicy,168,39,0.022900763358778716,127.89968343665049,0.0328159876496621,,0.002898550724637681,,,,,0.011363636363636364,0.029850746268656716,0.0007462686567164179,,0.0821917808219178,,0.007801418439716312,0.027272727272727275,,0.00847457627118644,0.005494505494505495,,,0.03225806451612903,0.04647058823529412,0.0007751937984496124,,,,0.1724137931034483,,0.015873015873015872,,,0.04102564102564102,,,,,,0.018518518518518517,0.031914893617021274,,,0.01694915254237288,0.028985507246376812,,0.014285714285714285,0.0014285714285714286,,0.029850746268656716,0.03529411764705882,,0.03793103448275862,0.16799999999999998,,0.1272727272727273,,0.002597402597402598,0.22653061224489793,,,,,,0.11366906474820143,,,,0.06918238993710692,,,0.0017241379310344827,,,0.010869565217391304,,0.009022556390977442,0.02127659574468085,0.0008130081300813009,0.017543859649122806,,,0.07829457364341086,,,,0.019047619047619046,,0.04,,,,,
government,189,63,0.02576335877862603,108.34039733504363,0.03349834881197983,,,0.0641025641025641,0.015384615384615385,0.0196078431372549,0.014492753623188406,,0.029850746268656716,0.05223880597014925,,0.0684931506849315,0.1090909090909091,0.014184397163120567,0.027272727272727275,0.07352941176470588,0.00847457627118644,0.05494505494505495,0.03571428571428571,0.0058823529411764705,0.016129032258064516,,,,,0.02631578947368421,0.05172413793103448,0.07142857142857142,,0.10810810810810811,0.06756756756756757,0.038461538461538464,,0.037037037037037035,,0.16883116883116886,,0.018518518518518517,0.010638297872340425,0.037037037037037035,0.023809523809523808,0.01694915254237288,,0.05263157894736842,0.014285714285714285,0.014285714285714285,0.02564102564102564,0.014925373134328358,,0.03614457831325302,,,0.015873015873015872,,0.01098901098901099,0.06493506493506493,0.02040816326530612,0.037500000000000006,0.016260162601626018,0.017543859649122806,0.031746031746031744,0.01282051282051282,0.02158273381294964,0.06557377049180328,0.016129032258064516,,0.025157232704402517,0.022727272727272728,,0.05172413793103448,,,0.010869565217391304,0.01886792452830189,0.05263157894736842,0.14893617021276595,0.016260162601626018,0.07017543859649122,,,0.007751937984496124,0.01818181818181818,,0.029850746268656716,,,0.02,,0.05263157894736842,0.08333333333333333,,0.015151515151515152
healthcare,167,25,0.022764449291166937,126.37477687088428,0.03517964319025835,,,0.02564102564102564,0.015384615384615385,,,,0.029850746268656716,,,,0.09090909090909091,,,0.014705882352941176,0.00847457627118644,0.016483516483516484,,0.0058823529411764705,,,0.007751937984496124,,,0.2631578947368421,,,,,,,0.06382978723404255,0.037037037037037035,,0.09090909090909093,0.03571428571428571,,,,0.15476190476190477,0.06779661016949153,,0.39999999999999974,,0.014285714285714285,,,,0.37349397590361477,,,0.06349206349206349,,,,,,,,,,,,,,0.006289308176100629,0.011363636363636364,,,,0.01694915254237288,,,,,,,,,0.007751937984496124,,,,,,,,,0.020833333333333332,,
hillaryClinton,38,12,0.005179934569247546,23.911235599406933,0.007862108494802723,,,,,,,,,0.022388059701492536,,0.0136986301369863,,,,,0.00847457627118644,0.005494505494505495,,0.011764705882352941,,0.0058823529411764705,,,,,,,,,,,,,,,,,,,0.15476190476190477,,,,,,,,,,,,,,,,,,0.016260162601626018,,,0.07692307692307691,,0.03278688524590164,,,,,,,,0.01694915254237288,,0.031446540880503145,,,,,,,,,,,,,,,,,,
immigration,209,41,0.028489640130861645,182.2229749014676,0.038981053918581636,0.4074074074074072,,0.05128205128205128,,0.0196078431372549,,0.011363636363636364,0.05970149253731343,0.007462686567164179,0.018867924528301886,,0.01818181818181818,,,0.014705882352941176,0.08474576271186442,0.03296703296703297,0.07142857142857142,,,,,,,,,0.05357142857142857,,,0.013513513513513514,,,0.012345679012345678,0.05,,,,,,,,0.014492753623188406,,0.02857142857142857,0.014285714285714285,0.29487179487179493,0.07462686567164178,,,0.017241379310344827,0.02,0.23809523809523808,,,0.05194805194805195,,0.0625,,0.03508771929824561,0.015873015873015872,,0.02158273381294964,0.19672131147540983,0.016129032258064516,,,0.3522727272727272,0.022727272727272728,,0.2040816326530612,,,,,0.02127659574468085,0.008130081300813009,0.07017543859649122,,,,,,,0.015873015873015872,0.21052631578947367,,,,0.10416666666666666,,0.015151515151515152
